Zip_Code,Latitude,Longitude,Detached_Houses,Attached_Houses,Duplexes,Small_Apartments_3_to_4,Mid_Apartments_5_to_9,Large_Apartments_10_to_19,Major_Apartments_20_to_49,High_Rise_50_plus,Total_Pop_in_Units,Pop_Owners,Pop_Renters,Home_Value_Lower_Quartile,Home_Value_Median,Home_Value_Upper_Quartile,Median_Year_Built,Avg_Household_Size
92657,33.5950576,-117.8291306,2820,708,15,45,153,108,213,124,9342,7623,1719,1195300.0,2000001.0,2000001.0,1998.0,2.56
92704,33.7211311,-117.9051096,9857,1431,207,1699,1905,1586,746,1200,79472,40111,39361,380800.0,534800.0,667200.0,1971.0,4.04
92701,33.7486219,-117.8587143,4029,1122,551,930,879,1535,1837,1842,48398,13864,34534,377200.0,521700.0,658800.0,1968.0,3.92
92602,33.7364976,-117.7349328,4653,1672,0,119,765,863,746,1256,27425,11953,15472,767200.0,933600.0,1198100.0,2005.0,3.01
92683,33.7524286,-117.9938721,16075,2383,504,1695,1172,855,887,2175,90959,49492,41467,515900.0,651200.0,810900.0,1969.0,3.29
92646,33.6610291,-117.9679484,13677,3154,48,1429,1031,359,476,919,55719,41799,13920,576800.0,814900.0,995400.0,1970.0,2.6
92630,33.6449291,-117.6843122,12898,4203,97,1210,2187,1424,301,931,66091,46053,20038,488300.0,694800.0,878100.0,1980.0,2.84
92656,33.5752015,-117.7303522,7418,5510,119,1049,1672,982,663,3231,52697,31434,21263,512200.0,679300.0,888500.0,1994.0,2.67
92629,33.4750606,-117.7056302,6819,1910,551,1560,1358,645,284,626,26861,16242,10619,784900.0,981600.0,1331600.0,1981.0,2.31
92865,33.8263928,-117.8513073,4209,962,99,600,143,68,288,256,21200,13250,7950,541000.0,652400.0,785400.0,1970.0,3.11
92802,33.8083143,-117.9236894,3993,1024,314,1463,2123,754,735,1732,42355,14314,28041,450700.0,577500.0,691400.0,1967.0,3.55
92844,33.7655973,-117.9695054,2761,1184,151,717,684,419,484,427,22306,10024,12282,431000.0,545400.0,670800.0,1969.0,3.31
92831,33.8795102,-117.8960355,5487,1103,349,1185,994,1070,978,2084,35076,14848,20228,531400.0,676300.0,875200.0,1968.0,2.83
92649,33.7202415,-118.0453833,7197,1857,128,2243,782,501,800,1120,36078,20345,15733,618300.0,885000.0,1236700.0,1973.0,2.45
92843,33.7639661,-117.9315346,5846,1193,112,906,1470,661,563,594,47929,23722,24207,431500.0,570200.0,679100.0,1964.0,4.06
92708,33.7105823,-117.951129,12875,2119,79,887,707,514,444,1326,56663,38243,18420,636900.0,816900.0,949800.0,1973.0,3.01
92688,33.6187295,-117.6107995,7483,3790,148,490,1062,993,301,1524,44386,31408,12978,512800.0,673400.0,856100.0,1993.0,2.87
92705,33.7660065,-117.7867627,9887,764,247,889,641,873,426,1658,47026,28872,18154,689300.0,914900.0,1201000.0,1968.0,3.14
92653,33.5940116,-117.7007341,6498,1998,38,587,297,297,110,1312,29727,21304,8423,563700.0,771800.0,1122200.0,1980.0,2.77
